fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,7888,1969,790,197,0.6775012696800407,0.6806481560600948,0.6784493142403748,0.6765046033598683,0.6762815608452152
2,7880,1977,789,198,0.644916540212443,0.6716246951952596,0.6438798062996687,0.6477384668367836,0.6484394374419304
3,7882,1975,789,198,0.6425316455696203,0.6454677554702375,0.6431695505162587,0.640389468119053,0.6395033134343738
4,7889,1968,790,197,0.679369918699187,0.6836683941601182,0.6787546292638862,0.6782306579365718,0.6783706112139702
5,7889,1968,790,197,0.6849593495934959,0.6928582001241095,0.68712307149784,0.6867759260602612,0.6847640855590742
