fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,f1_macro,f1_weighted
1,6302,1578,631,158,0.6571609632446135,0.6645096197882875,0.6565253745407954,0.6535678242262515,0.6559058519683387
2,6302,1578,631,158,0.7141951837769328,0.7279847438818725,0.7161875235915511,0.7184003527216702,0.7161238157750403
3,6302,1578,631,158,0.6907477820025348,0.6998246729310635,0.6925828458241103,0.6928992750041646,0.6911132233093702
4,6311,1569,632,157,0.6609305289993627,0.6775097886237624,0.660930473372781,0.6649089773005021,0.6640954227462345
5,6303,1577,631,158,0.6759670259987318,0.6825580384158353,0.6746429275852353,0.6754419315146067,0.6776901841015694
