fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,f1_macro,f1_weighted
1,6302,1578,631,158,0.6755386565272496,0.6705331672289458,0.6740560756772658,0.6676118901127445,0.669054868203821
2,6302,1578,631,158,0.7509505703422054,0.7515912234675642,0.7532216622274677,0.7488489611618847,0.7470537714850659
3,6302,1578,631,158,0.7027883396704689,0.7036596385536086,0.7082749332419803,0.6993822045191165,0.6951653284999354
4,6311,1569,632,157,0.6864244741873805,0.7003774949914766,0.686663708086785,0.6893974845457588,0.6887495975042166
5,6303,1577,631,158,0.6911857958148383,0.6853439695303822,0.6902416877993801,0.6849972830918515,0.6867930326410673
