model,validation_method,internal_cv_macro_f1_mean,internal_cv_macro_f1_std,cv_track_id_overlap_ratio_mean,cv_track_id_overlap_ratio_std,external_test_accuracy,external_test_macro_f1,optimism_gap
KNN,StratifiedKFold,0.8893957263448732,0.006765290872332516,1.0,0.0,0.6454223571067274,0.6478405051101125,0.2415552212347607
KNN,GroupKFold,0.6538690798527333,0.020097208278439194,0.0,0.0,0.6454223571067274,0.6478405051101125,0.0060285747426208625
SVM_RBF,StratifiedKFold,0.8626043358874025,0.008325151153810762,1.0,0.0,0.7233181588265049,0.7213937879896638,0.14121054789773868
SVM_RBF,GroupKFold,0.7062174116350828,0.021120375158445233,0.0,0.0,0.7233181588265049,0.7213937879896638,-0.015176376354581023
RandomForest,StratifiedKFold,0.875410536887865,0.010213577785413808,1.0,0.0,0.6934749620637329,0.6913946663675234,0.18401587052034152
RandomForest,GroupKFold,0.6839399768070278,0.03014448820396581,0.0,0.0,0.6934749620637329,0.6913946663675234,-0.007454689560495664
