fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,f1_macro,f1_weighted
1,7888,1969,790,197,0.7369222955815135,0.7409528521561807,0.738082240777824,0.7354460509031249,0.7350840822965762
2,7880,1977,789,198,0.7121901871522509,0.7151650948458894,0.7117646692107151,0.7110034044007295,0.7112870614212204
3,7882,1975,789,198,0.6967088607594937,0.6913845906524541,0.6976326315729806,0.6914490062380472,0.6904638473459157
4,7889,1968,790,197,0.744410569105691,0.7446320204936631,0.7442173577693281,0.7421756336896145,0.7419360013176385
5,7889,1968,790,197,0.7439024390243902,0.7426314194948002,0.745726086573217,0.7416757825052291,0.7401502080566992
