fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,f1_macro,f1_weighted
1,6302,1578,631,158,0.6875792141951838,0.6857850312964495,0.6877512781525844,0.6808566410658937,0.6817470775245819
2,6302,1578,631,158,0.7408111533586819,0.7439629579447525,0.7427177314098576,0.7386927840937866,0.736618860175122
3,6302,1578,631,158,0.7110266159695817,0.7098318127692318,0.7152483178735813,0.7090164457400425,0.7055599623957877
4,6311,1569,632,157,0.7049075844486934,0.7158770458486479,0.7050305719921105,0.7051003726616368,0.7044238338787286
5,6303,1577,631,158,0.703868103994927,0.6990643868861783,0.7018612285150747,0.6974208146140539,0.7002151521056946
