fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,f1_macro,f1_weighted
1,7888,1969,790,197,0.707465718638903,0.7134031644378283,0.7087701162453872,0.7056305309061699,0.7052119478492185
2,7880,1977,789,198,0.7066262013151239,0.7054826192361242,0.7063347879749625,0.7042665125538293,0.7044171993323739
3,7882,1975,789,198,0.7134177215189873,0.7108718516520786,0.7144961652594615,0.7102967167852687,0.70885956983788
4,7889,1968,790,197,0.6925813008130082,0.6886566390279558,0.6929462379872324,0.6897196297917446,0.6895441925904681
5,7889,1968,790,197,0.7205284552845529,0.7204946408205943,0.7225589203326575,0.7181827889034177,0.7165748435273515
