mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
0.02939472198486328,0.0018837657557269185,0.5999985218048096,0.04921950523583421,1,1,uniform,"{'model__n_neighbors': 1, 'model__p': 1, 'model__weights': 'uniform'}",0.6683595733875064,0.620131512392514,0.6324050632911392,0.6747967479674797,0.6732723577235772,0.6537930509524433,0.022905577708742877,37,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6681129093787949,0.6207465248841372,0.633235625956966,0.6743212224733038,0.6761150206541212,0.6545062606694646,0.022964632676482723,37,1.0,0.9986900049692421,0.9987072313204113,1.0,0.9987072313204113,0.999220893522013,0.0006361688735319341,0.6676337030192557,0.6220871421943945,0.6319041588816979,0.6745803039562362,0.6748735524932724,0.6542157721089714,0.022590068006399306,37,1.0,0.998731285210577,0.9987314877862957,1.0,0.9987326133517028,0.9992390772697151,0.000621290972440207
0.02929840087890625,0.001127526169848574,0.6423457145690918,0.03180916593033529,1,1,distance,"{'model__n_neighbors': 1, 'model__p': 1, 'model__weights': 'distance'}",0.6683595733875064,0.620131512392514,0.6324050632911392,0.6747967479674797,0.6732723577235772,0.6537930509524433,0.022905577708742877,37,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6681129093787949,0.6207465248841372,0.633235625956966,0.6743212224733038,0.6761150206541212,0.6545062606694646,0.022964632676482723,37,1.0,0.9986900049692421,0.9987072313204113,1.0,0.9987072313204113,0.999220893522013,0.0006361688735319341,0.6676337030192557,0.6220871421943945,0.6319041588816979,0.6745803039562362,0.6748735524932724,0.6542157721089714,0.022590068006399306,37,1.0,0.998731285210577,0.9987314877862957,1.0,0.9987326133517028,0.9992390772697151,0.000621290972440207
0.03170418739318848,0.0036304873996839296,0.20736541748046874,0.01150317498107355,1,2,uniform,"{'model__n_neighbors': 1, 'model__p': 2, 'model__weights': 'uniform'}",0.6582021330624682,0.6105209914011128,0.6253164556962025,0.6610772357723578,0.6595528455284553,0.6429339322921194,0.020973602036408218,39,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6567370602614063,0.6138637331636703,0.6255919907911658,0.6612583770756333,0.6619231436854018,0.6438748609954554,0.02014097537839566,39,1.0,0.9986900049692421,0.9987072313204113,1.0,0.9987072313204113,0.999220893522013,0.0006361688735319341,0.6562495416162865,0.6152002988908594,0.6245214074963339,0.6615638657726769,0.6600941497517455,0.6435258527055805,0.01962282639446745,39,1.0,0.998731285210577,0.9987314877862957,1.0,0.9987326133517028,0.9992390772697151,0.000621290972440207
0.030481767654418946,0.0036785360423030405,0.19707636833190917,0.01057042229774185,1,2,distance,"{'model__n_neighbors': 1, 'model__p': 2, 'model__weights': 'distance'}",0.6582021330624682,0.6105209914011128,0.6253164556962025,0.6610772357723578,0.6595528455284553,0.6429339322921194,0.020973602036408218,39,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6567370602614063,0.6138637331636703,0.6255919907911658,0.6612583770756333,0.6619231436854018,0.6438748609954554,0.02014097537839566,39,1.0,0.9986900049692421,0.9987072313204113,1.0,0.9987072313204113,0.999220893522013,0.0006361688735319341,0.6562495416162865,0.6152002988908594,0.6245214074963339,0.6615638657726769,0.6600941497517455,0.6435258527055805,0.01962282639446745,39,1.0,0.998731285210577,0.9987314877862957,1.0,0.9987326133517028,0.9992390772697151,0.000621290972440207
0.030483150482177736,0.004323414125908219,0.6824453830718994,0.049214313174502304,3,1,uniform,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.6790248857287964,0.6363176530096105,0.6460759493670886,0.6905487804878049,0.6864837398373984,0.6676902016861398,0.02216122504373082,30,0.9729969574036511,0.9733502538071066,0.9736107586906877,0.9731271390543795,0.9731271390543795,0.9732424496020409,0.00021639445264787308,0.6794605821139398,0.6387688656503809,0.6465126717657372,0.6888460717841199,0.6897655808626221,0.66867075443536,0.021695894053742188,30,0.9731923941836815,0.9734189394808533,0.9736635768886723,0.9732372442375057,0.9732223194952697,0.9733468948571966,0.00017713874458845228,0.6791981150378227,0.6396080717582749,0.6452919843498136,0.6893791782197872,0.688247249683797,0.6683449198098991,0.021510829259644194,30,0.9729929775199073,0.973303955340628,0.9735952699968871,0.9731236166867003,0.9731122427400752,0.9732256124568396,0.00020983762676947876
0.02716221809387207,0.0015479449999494163,0.5811130046844483,0.04009058748167953,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.6775012696800407,0.6403641881638846,0.6567088607594936,0.6925813008130082,0.6890243902439024,0.6712360019320658,0.019876663900103356,24,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6769185961454252,0.6437402153848449,0.6575926698218743,0.6913458744341221,0.6927027571644147,0.6724600225901363,0.01914256035806413,24,1.0,0.9986900049692421,0.9987072313204113,1.0,0.9987072313204113,0.999220893522013,0.0006361688735319341,0.6766361299694725,0.6449414268009862,0.6564728009001793,0.6918369275586245,0.6912177310868747,0.6722210032632274,0.018747451386401614,24,1.0,0.998731285210577,0.9987314877862957,1.0,0.9987326133517028,0.9992390772697151,0.000621290972440207
0.029756784439086914,0.004609810537148651,0.13956861495971679,0.018711197870762628,3,2,uniform,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",0.6719146775012697,0.6211431461810825,0.6364556962025316,0.6732723577235772,0.6671747967479674,0.6539921348712856,0.02122880044121479,36,0.9637423935091278,0.9626903553299493,0.9625729510276579,0.9623526429205222,0.9609582963620231,0.962463327829856,0.0008918451223735468,0.6715121383784839,0.6231672251146367,0.635713003314328,0.6726755156438158,0.6708209196509335,0.6547777604204396,0.021073409366345976,36,0.9639469362559607,0.9628273663180567,0.9627101959585647,0.9624563035015014,0.9611068153163653,0.9626095234700897,0.0009086112007015248,0.6711447473431668,0.6241873869415492,0.6348477572289813,0.6724990013951474,0.6687003187138101,0.654275842324531,0.020530341643329852,36,0.9636988625675127,0.9626438272610564,0.9625507020806428,0.9623236746404904,0.960942340066803,0.962431881323301,0.0008825783554002382
0.02734651565551758,0.0026013775171513805,0.14333314895629884,0.023929923970290992,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.6668359573387507,0.6272129489124937,0.6354430379746835,0.6747967479674797,0.6702235772357723,0.654902453885836,0.01958727043589064,35,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6653940891360637,0.6308518229374287,0.6346973656241636,0.6744479673199999,0.6741460681000363,0.6559074626235384,0.019204407939418713,35,1.0,0.9986898702723082,0.998707147104611,1.0,0.9987072313204113,0.999220849739466,0.0006362049558079408,0.6648907465882558,0.6322464511124452,0.6338435739117125,0.6746325339300772,0.6720832654141392,0.655539314191326,0.018649210528177,35,1.0,0.9987312297872714,0.9987314560114263,1.0,0.9987326133517028,0.9992390598300801,0.0006213052243378006
0.027162647247314452,0.002932730454329705,0.6850741863250732,0.0277232607789998,5,1,uniform,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.6866429659725749,0.6454223571067274,0.6612658227848102,0.6966463414634146,0.693089430894309,0.6766133836443672,0.019908791095643672,17,0.9589249492900609,0.9605329949238579,0.9590205531590966,0.9612118139181138,0.96159209025225,0.9602564803086759,0.0011021313289899784,0.6862862794437146,0.647784687203561,0.6596232959015458,0.6946512181960776,0.6957063612339986,0.6768103683957796,0.019509141378961585,19,0.959208505782518,0.9606601934726285,0.9591341145560696,0.9613801048059555,0.9617214777341057,0.9604208792702554,0.0010765272113057306,0.6859528491843614,0.6486537427660644,0.6586591467989744,0.6954900346033481,0.6941598929877855,0.6765831332681068,0.01926408638610408,19,0.9589278631803358,0.9604732152736534,0.9590037015378143,0.9612339644412854,0.9615576867036977,0.9602392862273573,0.0010980698791307154
0.0276583194732666,0.00437441247786338,0.5963669300079346,0.08392318307043733,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.6835957338750634,0.6530096105209914,0.6637974683544304,0.6961382113821138,0.6961382113821138,0.6785358471029427,0.017401709529539396,15,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.6827714421079224,0.6555732366114558,0.6642224368568378,0.6949820520677917,0.699714157457003,0.6794526650202022,0.01711660696653947,15,1.0,0.9986900049692421,0.9987072313204113,1.0,0.9987072313204113,0.999220893522013,0.0006361688735319341,0.6822679402989081,0.6566371979054884,0.6631909219923594,0.6959172430570867,0.6981395900747237,0.6792305786657132,0.01681042823394328,15,1.0,0.998731285210577,0.9987314877862957,1.0,0.9987326133517028,0.9992390772697151,0.000621290972440207
