fold,train_sample_count,validation_sample_count,train_track_count,validation_track_count,accuracy,macro_precision,macro_recall,f1_macro,f1_weighted
1,7888,1969,790,197,0.7039106145251397,0.7072646304972322,0.70546574350449,0.7027571417115008,0.7021759270557425
2,7880,1977,789,198,0.6732422862923622,0.6944574751029163,0.6721643808012494,0.6756986997681859,0.6766241073495154
3,7882,1975,789,198,0.6749367088607595,0.6823769478676629,0.675608996760452,0.6745897127571141,0.6734277329394613
4,7889,1968,790,197,0.7052845528455285,0.712255373011515,0.7034470985977201,0.7047017079088062,0.7056357519134099
5,7889,1968,790,197,0.7032520325203252,0.7163769882568667,0.7048265596990803,0.7076470232461236,0.7058315570181888
